document,label,why,the_document_answers_it,words,context
5926,4,too short to be a recommendation,yes,The committee recommends that the amended bill be passed,"Recommendation 4: The committee recommends that the amended bill be passed. The Government notes this recommendation. However, given the passage of time since this report was tabled, a substantive Government response is no longer appropriate."
5988,1,does not read like a recommendation,yes,"The Committee affirms the importance of resolving policy uncertainty in relation to emissions reduction in the electricity sector. The Committee commends to the House the establishment of a stable and enduring mechanism for scalable emissions reduction in the electricity sector, with appropriate not","Recommendation 1 The Committee affirms the importance of resolving policy uncertainty in relation to emissions reduction in the electricity sector. The Committee commends to the House the establishment of a stable and enduring mechanism for scalable emissions reduction in the electricity sector, with appropriate notice"
5988,7,the extraction looks broken,yes,"The Committee recommends that, independent of the Regulatory Investment Test for Transmission (RIT-T) process, the Australian Energy Market Operator be funded to undertake further feasibility studies to ascertain whether: - additional interconnectors are required on the grid and, if so, where; and -","Recommendation 7 The Committee recommends that, independent of the Regulatory Investment Test for Transmission (RIT-T) process, the Australian Energy Market Operator be funded to undertake further feasibility studies to ascertain whether: - additional interconnectors are required on the grid and, if so, where; and - ad"
5989,1,longer than a quotation can carry,,(cid:3)(cid:4)(cid:5)(cid:2)(cid:6)(cid:7)(cid:8)(cid:8)(cid:9)(cid:10)(cid:10)(cid:5)(cid:5)(cid:2)(cid:11)(cid:5)(cid:6)(cid:7)(cid:8)(cid:8)(cid:5)(cid:12)(cid:13)(cid:14)(cid:2)(cid:10)(cid:4)(cid:15)(cid:10)(cid:2)(cid:10)(cid:4)(cid:5)(cid:2)(cid:16)(cid:9)(cid:17)(cid:17)(cid:14)(cid:2)(cid:1,Recommendation 1 (cid:3)(cid:4)(cid:5)(cid:2)(cid:6)(cid:7)(cid:8)(cid:8)(cid:9)(cid:10)(cid:10)(cid:5)(cid:5)(cid:2)(cid:11)(cid:5)(cid:6)(cid:7)(cid:8)(cid:8)(cid:5)(cid:12)(cid:13)(cid:14)(cid:2)(cid:10)(cid:4)(cid:15)(cid:10)(cid:2)(cid:10)(cid:4)(cid:5)(cid:2)(cid:16)(cid:9)(cid:17)(cid:17)(cid:14)(cid:2)(cid:12)(
5993,9,too short to be a recommendation,,6,Recommendation 9: ...................................................................................................................... 6 Recommendation 10: .................................................................................................................... 6 Recommendation 11: ........................
5993,9,too short to be a recommendation,,12,Recommendation 9: .................................................................................................................... 12 Recommendation 10: .................................................................................................................. 12 Recommendation 11: ..........................
5993,9,does not read like a recommendation,yes,"An independent review of the performance of the Board is conducted every two years, while an internal review is conducted in the intervening years. Each Committee of the Board undertakes an annual self- assessment of their performance against the requirements of its Charter and provides that informa","Recommendation 9: An independent review of the performance of the Board is conducted every two years, while an internal review is conducted in the intervening years. Each Committee of the Board undertakes an annual self- assessment of their performance against the requirements of its Charter and provides that informati"
6021,3,does not read like a recommendation,yes,With the aim of increasing its staff’s awareness of their democratic responsibilities: • the Department of Defence re-examine its induction and training programs and corporate culture regarding its role as a department answerable to the Australian people through the processes of the Australian Parli,Recommendation 3 With the aim of increasing its staff’s awareness of their democratic responsibilities: • the Department of Defence re-examine its induction and training programs and corporate culture regarding its role as a department answerable to the Australian people through the processes of the Australian Parliame
6022,3,does not read like a recommendation,yes,With the aim of increasing its staff’s awareness of their democratic responsibilities: • the Department of Defence re-examine its induction and training programs and corporate culture regarding its role as a department answerable to the Australian people through the processes of the Australian Parli,Recommendation 3 With the aim of increasing its staff’s awareness of their democratic responsibilities: • the Department of Defence re-examine its induction and training programs and corporate culture regarding its role as a department answerable to the Australian people through the processes of the Australian Parliame
6040,3,the extraction looks broken,,"The Committee recommends that the Department of the House of Representatives review the guidance material and training available to Members to ensure Members are aware: e words that are sexist, racist, homophobic and otherwise exclusionary or discriminatory are considered offensive words under stand","Recommendation 3 3.115 The Committee recommends that the Department of the House of Representatives review the guidance material and training available to Members to ensure Members are aware: e words that are sexist, racist, homophobic and otherwise exclusionary or discriminatory are considered offensive words under"
6040,5,the extraction looks broken,yes,"The Committee recommends that House consider establishing a House Standing Committee on Gender Equality, Diversity and Inclusion to: e scrutinise the work of the Australian Public Service from a gender, diversity and inclusion perspective e scrutinise the potential effects of proposed legislation on","Recommendation 5 5.17 The Committee recommends that House consider establishing a House Standing Committee on Gender Equality, Diversity and Inclusion to: e scrutinise the work of the Australian Public Service from a gender, diversity and inclusion perspective e scrutinise the potential effects of proposed legislat"
6059,6,the extraction looks broken,yes,The committee recommends that SO 78(l) be amended to read: 78 Matters not open to debate … (l) motion that further proceedings on a bill or order of the day be conducted in the House (standing order 197); …,Recommendation 6 The committee recommends that SO 78(l) be amended to read: 78 Matters not open to debate … (l) motion that further proceedings on a bill or order of the day be conducted in the House (standing order 197); … Australian Government Response The Government notes the recommendation from the Committee. The G
6059,8,the extraction looks broken,yes,"The committee recommends that SOs 1, 2, 100, 215, 222 and 222A be amended to replace ‘non-aligned Member(s)’ with an alternative term, such as ‘cross-bench Member(s)’","Recommendation 8 The committee recommends that SOs 1, 2, 100, 215, 222 and 222A be amended to replace ‘non-aligned Member(s)’ with an alternative term, such as ‘cross-bench Member(s)’. Australian Government Response The standing orders now refer to ‘crossbench Members’ rather than ‘non-algined Members’ throughout. On 2"
6156,4,too short to be a recommendation,yes,The committee recommends that the bill not be passed,"Recommendation 4 The committee recommends that the bill not be passed. Response NOTED The Government notes this recommendation. However, given the passage of time since this report was tabled, a substantive Government response is no longer appropriate. Recommendation 5 The committee recommends that the Australian Gover"
6213,10,the extraction looks broken,yes,"The Committee recommends that the Department of the Environment coordinate with other relevant federal, state and territory agencies as well as interested non-government bodies to: e work towards making publicly available all environmental data gathered by government and non-government entities thro","Recommendation 10 The Committee recommends that the Department of the Environment coordinate with other relevant federal, state and territory agencies as well as interested non-government bodies to: e work towards making publicly available all environmental data gathered by government and non-government entities thro"
6213,13,does not read like a recommendation,yes,"That, in consultation with industry stakeholders, the Government work across all relevant Commonwealth and state or territory agencies to review the range of environmental reporting required of industry, and investigate the possibility of developing standardised and centralised environmental databas","Recommendation 13 That, in consultation with industry stakeholders, the Government work across all relevant Commonwealth and state or territory agencies to review the range of environmental reporting required of industry, and investigate the possibility of developing standardised and centralised environmental database"
6236,1,too short to be a recommendation,,4,Recommendation 1: ...................................................................................................................... 4 Recommendation 2: ...................................................................................................................... 4 Recommendation 3: ........................
6236,1,does not read like a recommendation,yes,"That Infrastructure Australia take a system-wide, mode-neutral approach in its consideration of any project and consider alternative ways of solving the problem being addressed","Recommendation 1: That Infrastructure Australia take a system-wide, mode-neutral approach in its consideration of any project and consider alternative ways of solving the problem being addressed. The Government notes this recommendation. However, given the passage of time since this report was tabled, a substantive Gov"
6238,13,too short to be a recommendation,yes,Exclude livestock transportation,Recommendation 13 Exclude livestock transportation. The Government supports this recommendation and intends to request that the Governor-General make a regulation excluding livestock transportation from provisions relating to regulated workers prior to the commencement of these provisions. Recommendation 14 The employe
6238,16,does not read like a recommendation,yes,That additional resourcing be allocated to develop and disseminate guidance for small businesses on the right to disconnect,Recommendation 16 That additional resourcing be allocated to develop and disseminate guidance for small businesses on the right to disconnect. The Government supports this recommendation. The right to disconnect provisions provide that the Fair Work Commission must make written guidelines in relation to the operation o
6238,17,does not read like a recommendation,yes,Include a provision to cause a review of the amendments to the Act as outlined above,"Recommendation 17 Include a provision to cause a review of the amendments to the Act as outlined above. The Government supports this recommendation. Page 14 of 15 The Government supported an amendment moved by Senator Jacqui Lambie, on behalf of the Jacqui Lambie Network, and Senator David Pocock to provide for a revie"
6241,2,longer than a quotation can carry,yes,"The Committee recommends that, given the evidence received, the Australian Government prioritises the activation of greater trade and investment with countries of the Pacific region by: a) considering measures and reforms to the Pacific Agreement on Closer Economic Relations (PACER Plus) to address ","Recommendation 2 The Committee recommends that, given the evidence received, the Australian Government prioritises the activation of greater trade and investment with countries of the Pacific region by: a) considering measures and reforms to the Pacific Agreement on Closer Economic Relations (PACER Plus) to address any"
6241,3,longer than a quotation can carry,yes,"The Committee recommends that the Australian Government improves travel and mobility between Australia and the countries of the Pacific region by: a) establishing a Pacific travel bubble between Australia and New Zealand that includes interested countries of the Pacific region, subject to health adv","Recommendation 3 The Committee recommends that the Australian Government improves travel and mobility between Australia and the countries of the Pacific region by: a) establishing a Pacific travel bubble between Australia and New Zealand that includes interested countries of the Pacific region, subject to health advice"
6241,4,longer than a quotation can carry,yes,The Committee recommends that the Australian Government works towards deepening people-to-people ties between Australia and countries of the Pacific region through: a) sport - by expanding its Sports Diplomacy 2030 and Australia’s Pacific Step- up initiatives through a new program called ‘Team AusPa,Recommendation 4 The Committee recommends that the Australian Government works towards deepening people-to-people ties between Australia and countries of the Pacific region through: a) sport - by expanding its Sports Diplomacy 2030 and Australia’s Pacific Step- up initiatives through a new program called ‘Team AusPac’.
6246,1,too short to be a recommendation,,4 Australian Greens,Recommendation 1: ...................................................................................................................... 4 Australian Greens Recommendation 1: ......................................................................................... 4 Australian Greens Recommendation 2: .................
6246,1,too short to be a recommendation,yes,The Committee does not support the passage of this bill,"Recommendation 1: The Committee does not support the passage of this bill. The Government notes this recommendation. However, given the passage of time since this report was tabled, a substantive Government response is no longer appropriate. Australian Greens Recommendation 1: That if the Bill passes the Parliament, a"
6249,12,too short to be a recommendation,,6,Recommendation 12: .................................................................................................................... 6 Recommendation 13: .................................................................................................................... 6 Recommendation 14: .........................
6249,12,the extraction looks broken,yes,Reform of Part X of the Competition and Consumer Act 2010 The committee recommends that Part X of the Competition and Consumer Act 2010 be reformed to ensure that it supports operators’ continued access to frequent and reliable liner cargo shipping services at competitive rates and to ensure that li,Recommendation 12: Reform of Part X of the Competition and Consumer Act 2010 The committee recommends that Part X of the Competition and Consumer Act 2010 be reformed to ensure that it supports operators’ continued access to frequent and reliable liner cargo shipping services at competitive rates and to ensure that lin
6251,6,too short to be a recommendation,,4,Recommendation 6: ...................................................................................................................... 4 Recommendation 7: ...................................................................................................................... 5 Recommendation 8: ........................
6251,6,does not read like a recommendation,yes,The infrastructure fund would be overseen by an independent board. The fund would manage Commonwealth grants for infrastructure and the distribution of funds raised by infrastructure bonds. The fund would also be empowered to attract and manage private equity investment,Recommendation 6: The infrastructure fund would be overseen by an independent board. The fund would manage Commonwealth grants for infrastructure and the distribution of funds raised by infrastructure bonds. The fund would also be empowered to attract and manage private equity investment. The Government notes this reco
6406,1,too short to be a recommendation,yes,The bill be passed with the omission of Schedule,"Recommendation 1 The bill be passed with the omission of Schedule 3. Australian Government Response The Government notes this recommendation. However, given the passage of time since this report was tabled, a substantive Government response is no longer appropriate. Dissenting Report – Labor Senators – Recommendation 2"
6406,1,too short to be a recommendation,yes,That Schedule 3 of this Bill not be passed,"Recommendation 1 That Schedule 3 of this Bill not be passed. Australian Government Response The Government notes this recommendation. However, given the passage of time since this report was tabled, a substantive Government response is no longer appropriate. 1 Dissenting Report – Australian Greens – Recommendation 2 Th"
6406,1,too short to be a recommendation,yes,That Schedule 3 of the Bill be opposed,"Recommendation 1 That Schedule 3 of the Bill be opposed. Australian Government Response The Government notes this recommendation. However, given the passage of time since this report was tabled, a substantive Government response is no longer appropriate. 2"
6406,4,does not read like a recommendation,yes,The Secretary of the Department of the Prime Minister and Cabinet and other senior officials of the department reacquaint themselves with: • the scrutiny functions of the Senate and its committees; and • the obligations of official witnesses who appear before Senate committees,Recommendation 4 The Secretary of the Department of the Prime Minister and Cabinet and other senior officials of the department reacquaint themselves with: • the scrutiny functions of the Senate and its committees; and • the obligations of official witnesses who appear before Senate committees. Australian Government Re
6408,5,does not read like a recommendation,yes,"Enact Parliamentary Standards legislation to give statutory force to the Ministerial Standards and to establish a Parliamentary Standards Commissioner with responsibility for education and advice, oversight, investigating complaints, monitoring compliance, and enforcement","Recommendation 5 Enact Parliamentary Standards legislation to give statutory force to the Ministerial Standards and to establish a Parliamentary Standards Commissioner with responsibility for education and advice, oversight, investigating complaints, monitoring compliance, and enforcement. Australian Government Respons"
6408,6,too short to be a recommendation,yes,Appoint a Parliamentary Ethics Adviser,"Recommendation 6 Appoint a Parliamentary Ethics Adviser. Australian Government Response The Government notes this recommendation. However, given the passage of time since this report was tabled, a substantive Government response is no longer appropriate. Australian Greens’ Additional Comments – Recommendation 7 Introdu"
6408,7,does not read like a recommendation,yes,Introduce effective sanctions to deter former Ministers from taking on lobbying and advocacy roles in breach of the Ministerial Standards,"Recommendation 7 Introduce effective sanctions to deter former Ministers from taking on lobbying and advocacy roles in breach of the Ministerial Standards Australian Government Response The Government notes this recommendation. However, given the passage of time since this report was tabled, a substantive Government re"
6411,12,too short to be a recommendation,yes,The Committee recommends that voting be compulsory,"Recommendation 12 The Committee recommends that voting be compulsory. Australian Government Response The Government notes this recommendation. However, given the passage of time since this report was tabled, a substantive Government response is no longer appropriate. Recommendation 13 The Committee recommends that this"
6540,15,longer than a quotation can carry,,"The committee recommends the Australian Government support workers and their representatives in the care sector to use the mechanisms available to them through the Fair Work Legislation Amendment (Secure Jobs, Better Pay) Act 2022 to achieve wage increases. This could include care sector workers and","Recommendation 15 The committee recommends the Australian Government support workers and their representatives in the care sector to use the mechanisms available to them through the Fair Work Legislation Amendment (Secure Jobs, Better Pay) Act 2022 to achieve wage increases. This could include care sector workers and t"
6558,2,longer than a quotation can carry,yes,The Committee recommends that the definition of foreign government related entity (FGRE) under section 10 of the Foreign Influence Transparency Scheme Act 2018 be amended to: • Recognise a relationship of control through chains of holding and subsidiary companies between the target FGRE and the fore,Recommendation 2: The Committee recommends that the definition of foreign government related entity (FGRE) under section 10 of the Foreign Influence Transparency Scheme Act 2018 be amended to: • Recognise a relationship of control through chains of holding and subsidiary companies between the target FGRE and the foreig
6558,6,the extraction looks broken,yes,The Committee recommends that the Foreign Influence Transparency Scheme Act 2018 be amended in the following ways to improve compulsory registration obligations on former Cabinet Ministers and recent designated position holders: • Section 22 and 23 registrable activities obligations on former Cabine,Recommendation 6: The Committee recommends that the Foreign Influence Transparency Scheme Act 2018 be amended in the following ways to improve compulsory registration obligations on former Cabinet Ministers and recent designated position holders: • Section 22 and 23 registrable activities obligations on former Cabinet
6639,4,does not read like a recommendation,yes,"That analysis is carried out on repurposing the Fund to allow it to underwrite, partially- underwrite, or sub-underwrite equity for SMEs","Recommendation 4 That analysis is carried out on repurposing the Fund to allow it to underwrite, partially- underwrite, or sub-underwrite equity for SMEs. Australian Government response The Government notes this recommendation. However, given the passage of time since this report was tabled, a substantive Government re"
6641,2,does not read like a recommendation,yes,There be greater transparency in the publication of decisions and enforceable undertakings made under the bills and related regulations,"Recommendation 2 There be greater transparency in the publication of decisions and enforceable undertakings made under the bills and related regulations. Australian Government response The Government notes this recommendation. However, given the passage of time since this report was tabled, a substantive Government res"
6641,2,does not read like a recommendation,yes,"The annual statistical report contains information on the area, value, tenure and use of land, including agricultural land, in which there is a foreign interest","Recommendation 2 The annual statistical report contains information on the area, value, tenure and use of land, including agricultural land, in which there is a foreign interest. Australian Government response The Government notes this recommendation. However, given the passage of time since this report was tabled, a s"
6641,3,does not read like a recommendation,yes,"Given the current economic imperatives, there be a review within six to twelve months of the bills’ commencement to update the Parliament on the impact of the legislation, whether it is achieving its stated objectives and whether it strikes the right balance between Australia’s openness to foreign i","Recommendation 3 Given the current economic imperatives, there be a review within six to twelve months of the bills’ commencement to update the Parliament on the impact of the legislation, whether it is achieving its stated objectives and whether it strikes the right balance between Australia’s openness to foreign inve"
6641,3,does not read like a recommendation,yes,The threshold for critical electricity assets be set at a level that does not have a disproportionate impact on renewable energy,"Recommendation 3 The threshold for critical electricity assets be set at a level that does not have a disproportionate impact on renewable energy. Australian Government response The Government notes this recommendation. However, given the passage of time since this report was tabled, a substantive Government response i"
6642,4,does not read like a recommendation,yes,"The government provide further advice on the financial and compliance costs of implementing this reform, including for individual members, SMSF advisers, and regulators","Recommendation 4 The government provide further advice on the financial and compliance costs of implementing this reform, including for individual members, SMSF advisers, and regulators. Australian Government response The Government notes this recommendation. However, given the passage of time since this report was tab"
6645,9,the government's verdict is inside the recommendation,yes,The committee recommends that the Australian Government provide further clarity around eligibility for the Research & Development Tax Incentive to ensure genuine software creation by Australian startups is reliably supported,Recommendation 9 The committee recommends that the Australian Government provide further clarity around eligibility for the Research & Development Tax Incentive to ensure genuine software creation by Australian startups is reliably supported. Australian Government response The Government notes this recommendation. Howe
6650,6,too short to be a recommendation,,The government should implement,"Recommendation 6 The government should implement Recommendation 1.7 of the Royal Commission into Misconduct in the Banking, Superannuation and Financial Services Industry removing point of sale exemptions from the National Consumer Credit Protection Act 2009. Australian Government response The Government notes this rec"
6658,2,does not read like a recommendation,yes,The Government recommence discussions with the Opposition and with stakeholders to reach broad political and industry support for a superannuation objective,"Recommendation 2 The Government recommence discussions with the Opposition and with stakeholders to reach broad political and industry support for a superannuation objective. Australian Government response The Government notes this recommendation. However, given the passage of time since this report was tabled, a subst"
6663,1,does not read like a recommendation,yes,"That any firm that provides audit services for a significant proportion (for example, more than 5 per cent) of companies capitalised or operating in Australia be prevented from providing non- audit services","Recommendation 1 That any firm that provides audit services for a significant proportion (for example, more than 5 per cent) of companies capitalised or operating in Australia be prevented from providing non- audit services. Australian Government response The Government notes this recommendation. However, given the pas"
6716,4,does not read like a recommendation,yes,The Parliament supports Labor’s policy to end cash refunds for franking credits,"Recommendation 4 The Parliament supports Labor’s policy to end cash refunds for franking credits. Australian Government response The Government notes this recommendation. However, given the passage of time since this report was tabled, a substantive Government response is no longer appropriate. 2 |"
6719,12,too short to be a recommendation,,The Committee reiterates,Recommendation 12 The Committee reiterates Recommendation 7 from the Tax dispute inquiry report and recommends that legislation be introduced to shift the onus of proof to the Australian Taxation Office in relation to allegations of fraud or evasion after a certain period has elapsed. Australian Government response The
6719,17,too short to be a recommendation,,The Committee reiterates,"Recommendation 17 The Committee reiterates Recommendation 4 of the 2015 Tax dispute report, that suspicion or finding of fraud or evasion be made by an officer from the Senior Executive Service. Australian Government response The Government notes this recommendation. However, given the passage of time since this report"
6719,18,too short to be a recommendation,,The Committee reiterates,"Recommendation 18 The Committee reiterates Recommendation 9 from the 2015 Tax dispute report and recommends that the Australian Taxation Office conducts earlier engagement with taxpayers in cases of fraud and evasion, and align the process to that of the tax avoidance process. Specifically, the Committee recommends tha"
6719,5,does not read like a recommendation,,The Committee supports the Inspector-General of Taxation and Taxation Ombudsman’s,Recommendation 5 The Committee supports the Inspector-General of Taxation and Taxation Ombudsman’s Recommendation 1(d) from the Review into Taxpayers’ Charter in 2016 and recommends that the Australian Taxation Office categorises complaint cases in line with the principles of the Taxpayers’ Charter. Australian Governme
6721,3.3,too short to be a recommendation,,,"recommendation 3.3: Recommendation 3.3—Improve the analytics function of the ATO’s centralised logging capability…to balance of performance, stability, resilience and cost factors: − early detection, fault finding and proactive problem management − resolution approaches, including active monitoring, analysing issue tre"
6721,3.3,does not read like a recommendation,yes,"Improve the analytics function of the ATO’s centralised logging capability…to balance of performance, stability, resilience and cost factors: − early detection, fault finding and proactive problem management − resolution approaches, including active monitoring, analysing issue trends and response ev","Recommendation 3.3—Improve the analytics function of the ATO’s centralised logging capability…to balance of performance, stability, resilience and cost factors: − early detection, fault finding and proactive problem management − resolution approaches, including active monitoring, analysing issue trends and response eva"
6721,36,the government's verdict is inside the recommendation,yes,"The Committee recommends that the IGT, in procedural fairness investigations, reports quantitatively on the proportion of complaint investigations undertaken in a reporting period where the IGT formed a different view to the ATO’s original decision. Additionally, that: the IGT, where possible, repor","Recommendation 36 The Committee recommends that the IGT, in procedural fairness investigations, reports quantitatively on the proportion of complaint investigations undertaken in a reporting period where the IGT formed a different view to the ATO’s original decision. Additionally, that: the IGT, where possible, report"
6756,1,too short to be a recommendation,yes,The committee recommends that the Senate pass the bill,Recommendation 1 The committee recommends that the Senate pass the bill. The Government notes this recommendation. Coalition Senators additional comments Recommendation 1 Coalition Senators will support the removal of potential criminal penalties for employers who contact their employees outside of work hours. The Gove
6756,1,does not read like a recommendation,yes,Coalition Senators will support the removal of potential criminal penalties for employers who contact their employees outside of work hours,Recommendation 1 Coalition Senators will support the removal of potential criminal penalties for employers who contact their employees outside of work hours. The Government notes this recommendation. Recommendation 2 Coalition Senators recommend repealing the 'right to disconnect' provisions which recently passed the P
6805,60,does not read like a recommendation,,of the Royal Commission into Aged Care Quality and Safety includes establishing a new Senior Dental Benefit Scheme to fund dental services for people who live in residential aged care or who live in the community and receive the age pension or qualify for the Commonwealth Seniors Health Card. The Na,Recommendation 60 of the Royal Commission into Aged Care Quality and Safety includes establishing a new Senior Dental Benefit Scheme to fund dental services for people who live in residential aged care or who live in the community and receive the age pension or qualify for the Commonwealth Seniors Health Card. The Nati
6873,1,too short to be a recommendation,yes,The committee recommends that the bills be passed,"Recommendation 1: 2.145 The committee recommends that the bills be passed. Response: The Australian Government notes this recommendation. The Digital ID Bill was amended and passed by the Senate on 27 March 2024, and passed by the House of Representatives on 16 May 2024. Dissenting Report: Coalition Senators Recommenda"
6873,10,too short to be a recommendation,yes,The bill not be passed in the current form,Recommendation 10: The bill not be passed in the current form. Response: The Australian Government notes this recommendation. The necessary amendments to the Bill were made to address many of the concerns raised in this report and through feedback from consultation.
6873,4,does not read like a recommendation,yes,The Digital ID Bill 2023 be reviewed by the Office of Parliamentary Council to identify provisions that may require an explicit limitations clause and report prior to the resumption of the second reading debate,Recommendation 4: The Digital ID Bill 2023 be reviewed by the Office of Parliamentary Council to identify provisions that may require an explicit limitations clause and report prior to the resumption of the second reading debate. Response: The Australian Government disagrees with this recommendation. The Bill was draft
6873,5,too short to be a recommendation,yes,The design of a digital ID must allow for offline use,Recommendation 5: The design of a digital ID must allow for offline use. Response: The Australian Government notes this recommendation. Offline use of a digital ID would depend on the specific implementation by service providers and the technology used. Recommendation 6: The provision for alternative identification sho
6873,7,does not read like a recommendation,yes,Amend the bill to remove the provision for the rules to allow the location of data outside Australian jurisdiction,"Recommendation 7: Amend the bill to remove the provision for the rules to allow the location of data outside Australian jurisdiction. Response: The Australian Government disagrees with this recommendation. It is appropriate to be able to make rules about data storage outside Australia, including limiting storage outsid"
6993,9,the extraction looks broken,yes,"The Committee recommends that the Australian Government provides funding for research, programs and initiatives to assist local publishers, including for regional newspapers to: e Identify and implement alternative, sustainable business models, achieved through a diverse range of revenue streams tha","Recommendation 9 The Committee recommends that the Australian Government provides funding for research, programs and initiatives to assist local publishers, including for regional newspapers to: e Identify and implement alternative, sustainable business models, achieved through a diverse range of revenue streams that"
7037,2,does not read like a recommendation,,"In the event that Telstra and/or Optus are not willing to agree to extend their 3G network shutdown, subject to the conditions listed in","Recommendation 2 In the event that Telstra and/or Optus are not willing to agree to extend their 3G network shutdown, subject to the conditions listed in Recommendation 1, the committee recommends that, prior to 30 August 2024, the Minister for Communications places conditions on the relevant carrier by making a declar"
7186,1,does not read like a recommendation,yes,the Government consider any potential amendments to the new cessation regime in the Australian Citizenship Act 2007 after a reasonable period of 18-24 months so that its operation and effectiveness can be assessed,Recommendation 1: the Government consider any potential amendments to the new cessation regime in the Australian Citizenship Act 2007 after a reasonable period of 18-24 months so that its operation and effectiveness can be assessed. Response: The Government accepts this recommendation. The Government agrees that 18-24
7223,1,too short to be a recommendation,yes,,Recommendation 1 The Government does not support this recommendation. The committee recommends that the federal government establishes a royal commission to examine the Australian response to the COVID-19 pandemic and the consequential impacts on the Australian community. 2 Recommendation 2 The Government does not supp
7223,2,too short to be a recommendation,yes,,Recommendation 2 The Government does not support this recommendation. The committee recommends that the federal government encourages the states and territories to pass complementary legislation that would enable them to participate in the royal commission. State and territory governments that do not initially join the
7223,3,too short to be a recommendation,yes,,Recommendation 3 The Government does not support this recommendation. The committee recommends that the federal government adopt the terms of refence outlined in paragraphs 3.99 and 3.100 as the draft terms of reference. 2 Recommendation Government Response Recommendation 4 The Government does not support this recommen
7223,4,too short to be a recommendation,yes,,Recommendation 4 The Government does not support this recommendation. The committee recommends that the draft terms of reference for a COVID- 19 Royal Commission are made available for public comment to allow the people of Australia an opportunity to provide input on the terms of reference prior to adoption. 3
7305,3,longer than a quotation can carry,yes,"The Committee recommends that the Australian Government amends the Commonwealth Grants Rules and Guidelines 2017 to provide that: • Competitive, merit-based processes must be adopted by default with program design guidelines or decision makers required to document appropriately detailed reasons when","Recommendation 3 2.95 The Committee recommends that the Australian Government amends the Commonwealth Grants Rules and Guidelines 2017 to provide that: • Competitive, merit-based processes must be adopted by default with program design guidelines or decision makers required to document appropriately detailed reasons wh"
7305,4,longer than a quotation can carry,,"In keeping with the key principles of ‘Governance and Accountability’ and ‘Probity and Transparency’ in the administration of Commonwealth grants, the Committee recommends that the Department of Finance develops ‘good practice’ examples of record-keeping templates with an accompanying checklist that","Recommendation 4 2.96 In keeping with the key principles of ‘Governance and Accountability’ and ‘Probity and Transparency’ in the administration of Commonwealth grants, the Committee recommends that the Department of Finance develops ‘good practice’ examples of record-keeping templates with an accompanying checklist th"
7400,1,longer than a quotation can carry,,"Remove the Minister’s power to veto research funding for reasons related to ‘international relations’, and narrow the definition of ‘designated research program’, to reduce the risk of political interference. Amendments in relation to this recommendation were moved by Senator Mehreen Faruqi (sheet 2","Recommendation 1: Remove the Minister’s power to veto research funding for reasons related to ‘international relations’, and narrow the definition of ‘designated research program’, to reduce the risk of political interference. Amendments in relation to this recommendation were moved by Senator Mehreen Faruqi (sheet 239"
7400,3,longer than a quotation can carry,,Ensure governance of research funding is democratic and representative. The amended ARC Act establishes an ARC Board as the accountable authority of the ARC from 1 July 2024. This was recommended by the independent Review of the Australian Research Council Act 2001 to strengthen the independence and,Recommendation 3: Ensure governance of research funding is democratic and representative. The amended ARC Act establishes an ARC Board as the accountable authority of the ARC from 1 July 2024. This was recommended by the independent Review of the Australian Research Council Act 2001 to strengthen the independence and i
7593,3,too short to be a recommendation,,The committee recommends that the timeframe in,"Recommendation 3 The committee recommends that the timeframe in recommendation 2 be published by the Department of Climate Change, Energy, the Environment and Water on its EPBC Act reform webpage. Response to all NOTED The Australian Government's Nature Positive environmental law reforms are being progressed in 3 st"
8204,99,does not read like a recommendation,yes,"of the Final Report of the Royal Commission calls for improved funding for professional, paid advocates","Recommendation 99 of the Final Report of the Royal Commission calls for improved funding for professional, paid advocates. The Government will provide its response to the Final Report of the Royal Commission before the end of the year. 7 # Recommendation Government response Defective administration claims are outside o"
8346,5.1,the government's words begin mid-sentence,yes,"stated: The Australian Government make provision, in legislation, for a declaration of a state of national emergency. In response to this recommendation, the National Emergency Declaration Act 2020 (Cth) (the NED Act) and National Emergency Declaration (Consequential Amendments) Act 2020 (Cth) (toge","Recommendation 5.1 stated: The Australian Government make provision, in legislation, for a declaration of a state of national emergency. In response to this recommendation, the National Emergency Declaration Act 2020 (Cth) (the NED Act) and National Emergency Declaration (Consequential Amendments) Act 2020 (Cth) (toget"
8364,2,the extraction looks broken,yes,of the Committee’s Report The committee recommends the Australian Government commissions and publishes a scoping study on the establishment of a steel plant/s located in Northern Australia. The study should consider: • the most suitable location/s including economic viability and financing arrangeme,Recommendation 2 of the Committee’s Report The committee recommends the Australian Government commissions and publishes a scoping study on the establishment of a steel plant/s located in Northern Australia. The study should consider: • the most suitable location/s including economic viability and financing arrangements
8412,8,the extraction looks broken,,"Note The committee recommends that: • the Australian National Audit Office (ANAO) gives serious consideration to auditing the Attorney-General’s Department (noting the independence of the ANAO), as part of its Annual Audit Work Program 2025–2026, to assess whether the department is effectively deliv","Recommendation 8 Note The committee recommends that: • the Australian National Audit Office (ANAO) gives serious consideration to auditing the Attorney-General’s Department (noting the independence of the ANAO), as part of its Annual Audit Work Program 2025–2026, to assess whether the department is effectively deliveri"
